Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit
1,24-11-2023,CUST001,Male,34,Beauty,3,50
2,27-02-2023,CUST002,Female,26,Clothing,2,500
3,13-01-2023,CUST003,Male,50,Electronics,1,30
4,21-05-2023,CUST004,Male,37,Clothing,1,500
5,06-05-2023,CUST005,Male,30,Beauty,2,50
6,25-04-2023,CUST006,Female,45,Beauty,1,30
7,13-03-2023,CUST007,Male,46,Clothing,2,25
8,22-02-2023,CUST008,Male,30,Electronics,4,25
9,13-12-2023,CUST009,Male,63,,2,300
10,07-10-2023,CUST010,Female,52,Clothing,4,50
11,14-02-2023,CUST011,Male,23,Clothing,2,
12,30-10-2023,CUST012,Male,35,Beauty,3,25
13,05-08-2023,CUST013,Male,22,Electronics,3,500
14,17-01-2023,CUST014,Male,64,,4,30
15,16-01-2023,CUST015,Female,42,Electronics,4,500
16,17-02-2023,CUST016,Male,19,Clothing,3,500
17,22-04-2023,CUST017,Female,27,Clothing,4,25
18,30-04-2023,CUST018,Female,47,Electronics,2,25
19,16-09-2023,CUST019,Female,62,Clothing,2,25
20,05-11-2023,CUST020,Male,22,Clothing,3,300
21,14-01-2023,CUST021,Female,50,Beauty,1,500
22,15-10-2023,CUST022,Male,18,Clothing,2,50
23,12-04-2023,CUST023,Female,35,Clothing,4,30
24,29-11-2023,CUST024,Female,49,Clothing,1,300
25,26-12-2023,CUST025,Female,64,Beauty,1,50
26,07-10-2023,CUST026,Female,28,Electronics,2,500
27,03-08-2023,CUST027,Female,38,Beauty,2,25
28,23-04-2023,CUST028,Female,43,Beauty,1,500
29,18-08-2023,CUST029,Female,42,Electronics,1,30
30,29-10-2023,CUST030,Female,39,Beauty,3,300
31,23-05-2023,CUST031,Male,44,Electronics,4,300
32,04-01-2023,CUST032,Male,30,Beauty,3,30
33,23-03-2023,CUST033,,50,Electronics,2,50
34,24-12-2023,CUST034,Female,51,Clothing,3,50
35,05-08-2023,CUST035,Female,58,Beauty,3,300
